A2M
ADAMTS4
ADGB
ANXA1
AQP1
ATP1A2
ATP1B2
CNN3
CADM1
COL1A1
COL4A1
GFRA1
GFRA2
GFRA3
IGF1
IL1RAP
ITGA1
ITGA6
L1CAM
LAMC1
MATN2
MPZ
NGFR
NLGN3
NRXN1
PDGFB
PLAT
PRIMA1
RSPO3
S100A4
SEMA3B
SLC22A17
SLITRK6
SYT11
THBS2
TMEM176B
VCAN
