ADM
ANGPTL4
AXL
BCAT1
BGN
CCL2
CDH13
CDH2
COL1A1
COL1A2
COL3A1
CYSLTR2
DDAH1
DLC1
DLX1
EDNRA
ERRFI1
FABP4
FGF1
FOSL2
GPC3
IGFBP5
IGFBP6
IL13RA2
LMO4
LOX
LOXL2
MGP
NDNF
NES
NR2F1
PDGFRB
PLXDC1
PRDX1
PTGER4
RGS16
RGS5
SH2B3
SLIT2
SOX4
SPRY2
TGFBI
TGM2
TMSB4X
TNC
UNC5B
VCAN
VEGFA
VSNL1
